date/time,settlement id,type,order id,sku,description,quantity,marketplace,fulfilment,order city,order state,order postal,tax collection model,product sales,product sales tax,postage credits,shipping credits tax,gift wrap credits,giftwrap credits tax,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total
1 Jan 2022 21:27:33 UTC,16869293022,Refund,026-4656198-7057910,NZ_FBA_Swing_Target_BLK_Metal,"NEEZ Airsoft Swing Target Self Resetting System Holder Cone Funnel BB Pellets Spinning Trap Metal For Airgun, Air Rifle, and Airsoft Pistol",1,amazon.co.uk,Amazon,ATHERSTONE,,CV9 2EL,,-16.41,-3.28,0,0,0,0,0,0,0,2.41,0,0,0,-17.28
1 Jan 2022 22:47:22 UTC,16869293022,,7edc9978-9d82-4d28-af1c-05e87ac0a2dc,,Save 10% on 100 blue glass pebbles,1,Amazon.co.uk,,,,,,0,0,0,0,0,0,0,0,0,0,0,-0.45,0,-0.45
1 Jan 2022 22:51:43 UTC,16869293022,,bf13167e-ed42-4c88-a703-5c04425f93aa,,Save 10% on 40 pcs assorted glass marbles,2,Amazon.co.uk,,,,,,0,0,0,0,0,0,0,0,0,0,0,-0.9,0,-0.9
1 Jan 2022 22:53:18 UTC,16869293022,,66453f58-b5d0-4fd0-b0e9-d25aa718600e,,Save 10% on 40 pcs assorted glass marbles,1,Amazon.co.uk,,,,,,0,0,0,0,0,0,0,0,0,0,0,-0.45,0,-0.45
1 Jan 2022 23:01:04 UTC,16869293022,,f5f775b2-7fcf-45be-98b2-984d534da296,,Save 10% on 40 Color Marble,2,Amazon.co.uk,,,,,,0,0,0,0,0,0,0,0,0,0,0,-0.9,0,-0.9
2 Jan 2022 04:00:12 UTC,16869293022,Service Fee,,,Cost of Advertising,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,-475.57,-95.11,-570.68
2 Jan 2022 04:10:08 UTC,16869293022,Adjustment,,"FBA_NZ_1328_3""Bell_SolidBrass",FBA Inventory Reimbursement - Damaged:Warehouse,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,7.25,7.25
2 Jan 2022 04:10:23 UTC,16869293022,Adjustment,,"FBA_NZ_1328_3""Bell_SolidBrass",FBA Inventory Reimbursement - Damaged:Warehouse,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,7.25,7.25
2 Jan 2022 04:10:32 UTC,16869293022,Adjustment,,"FBA_NZ_1328_3""Bell_SolidBrass",FBA Inventory Reimbursement - Damaged:Warehouse,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,7.25,7.25
2 Jan 2022 08:05:43 UTC,16869293022,Order,202-3236031-6393923,NZ_FBA_Pack_of_10_Co2_Gas_12g,"NEEZ 12g CO2 Cartridges Gas Capsule Cylinder For Rifle, Pistol, BB Gun, Paintball Airgun, Pack 10, 8.3 x 2 x 2 cm",2,amazon.co.uk,Amazon,NEWMARKET,,CB8 0NP,,19.92,3.98,0,0,0,0,0,0,0,-1.96,-4.42,0,0,17.52
