Datum/Uhrzeit	Abrechnungsnummer	Typ	Bestellnummer	SKU	Beschreibung	Menge	Marketplace	Versand	Ort der Bestellung	Bundesland	Postleitzahl	Steuererhebungsmodell	Umsätze	Produktumsatzsteuer	Gutschrift für Versandkosten	Steuer auf Versandgutschrift	Gutschrift für Geschenkverpackung	Steuer auf Geschenkverpackungsgutschriften	Rabatte aus Werbeaktionen	Steuer auf Aktionsrabatte	Einbehaltene Steuer auf Marketplace	Verkaufsgebühren	Gebühren zu Versand durch Amazon	Andere Transaktionsgebühren	Andere	Gesamt
02.01.2022 02:42:20 UTC	16869869152	Servicegebühr			Werbekosten								0	0	0	0	0	0	0	0	0	0	0	-348.81	0	-348.81
02.01.2022 07:17:42 UTC	16869869152	Bestellung	304-0806303-3822702	S&L-FBA-Color-Marble_40pcs_4xpp	ARSUK Cat's Eye Glasmurmeln Schutz vor Beschädigungen für Sportspielzeug und Outdoor (Farbe Marbles_40pcs)	1	amazon.de	Amazon	Erftstadt		50374	MarketplaceFacilitator	5.12	0.97	0.97	0.48	0	0	-2.51	-0.48	-0.97	-0.91	-1.32	0	0	2.89
02.01.2022 07:24:39 UTC	16869869152	Bestellung	306-2801585-3335538	FBA_ARS_GD04_4_Pair_Boot_Rack	ARSUK Welly Schuhabstreifer. Stiefelknecht. Schuhbürsten. Motiv Schuhzubehör & Pflege gusseisen Eisen Booten Gestell Halter. Schuh Gestell Rahmen. S	1	amazon.de	Amazon	Batterstown	Meath	A85VW01	MarketplaceFacilitator	33.61	7.73	7.13	1.64	0	0	0	0	-9.37	-6.2	-12.6	0	0	21.94
02.01.2022 07:30:22 UTC	16869869152	Bestellung	302-2484630-0476336	FBA_Cxpp_0.20g-2K-Bio-Pellets-WHT	ARSUK Softair Kugeln Munition Paintball Hochwertige BB. High Grade 6mm - 0.20g. Gewehr Sniper Waffen Erwachsene Jagdsport Zubehör	1	amazon.de	Amazon	Warendorf	NRW	48231	MarketplaceFacilitator	9.24	1.76	3.35	0.64	0	0	0	0	-2.4	-1.65	-5.82	0	0	5.12
02.01.2022 07:31:09 UTC	16869869152	Bestellung	028-9019641-2550734	FBA_ARS_Code:31666_Can_Snuffer_Set	ARSUK Candle Snuffer Set Feuerlöscher aus massivem Messing Nickel Holz Kerzenabdeckung Werkzeug zum sicheren Löschen (Messing_Snuffer_Set_3 STK)	1	amazon.de	Amazon	Laaber	Bayern	93164	MarketplaceFacilitator	12.6	2.39	3.35	0.64	0	0	0	0	-3.03	-2.25	-5.82	0	0	7.88
02.01.2022 07:31:34 UTC	16869869152	Bestellung	303-3200505-7656358	FBA_B1xpp_0.20g-10.000-tub-BLACK	ARSUK Softair Kugeln Munition Paintball Hochwertige BB. High Grade 6mm - 0.20g. Gewehr Sniper Waffen Erwachsene Jagdsport Zubehör	1	amazon.de	Amazon	Bobingen	Bayern	86399	MarketplaceFacilitator	19.33	3.67	0	0	0	0	0	0	-3.67	-3.45	-4.77	0	0	11.11
02.01.2022 07:31:53 UTC	16869869152	Bestellung	028-9508931-2144327	FBA_A0_Code:ARS-TG03-BK-Target-stand-lon	ARSUK Zielhalter Halterung bb Kugelfangkasten Trichter für Schießübungen Softairwaffen & Gewähren mit 50 zielscheiben 14x14cm	1	amazon.de	Amazon	Habichtswald	Hessen	34317	MarketplaceFacilitator	16.81	3.19	3.35	0.64	0	0	0	0	-3.83	-3	-7.29	0	0	9.87
02.01.2022 07:32:37 UTC	16869869152	Bestellung	304-0359707-1220318	PAN-EU-FBA-TMI-1302-2-Green-Tweezers	ARSUK Pinzette Lötpinzette Schrägpinzette Augenbrauenpinzette für Perfekt Präzisions Augenbrauen Zupfen Gesichts Haarentfernung Pinzette für Frau	1	amazon.de	Amazon	Olten	Solothurn	4600		4.15	0	2.16	0	0	0	-2.16	0	0	-0.62	-1.73	0	0	1.8
02.01.2022 07:33:27 UTC	16869869152	Bestellung	303-5116426-1858728	PAN-EU-FBA-BxPP_TMI-1167_cuticlescissors	Nagelschere und Nagelhautschere extra fein Solingen - Extra scharf mit gebogener Schneide - Fingernagel Nail Scissors- und Nagel schere Fussnägel - n	1	amazon.de	Amazon	Berlin		10967	MarketplaceFacilitator	3.76	0.72	0	0	0	0	0	0	-0.72	-0.36	-1.73	0	0	1.67
02.01.2022 07:40:48 UTC	16869869152	Bestellung	303-5062632-3382707	FBA_4PP_10pc_Glow_inthedark_Marbles	ARSUK 10pcs Large Handmade Flowerish Style Glow in The Dark Punktierte Glasmurmeln. Schutz vor Beschädigungen. Sportspielzeug & Outdoor (10 Stück im	1	amazon.de	Amazon	Michelhausen	Niederösterreich	3451	MarketplaceFacilitator	11.84	2.37	0	0	0	0	-0.23	-0.05	-2.32	-2.09	-2.52	0	0	7
02.01.2022 07:49:23 UTC	16869869152	Bestellung	306-7416844-1989958	FBA_ARS_Code:31666_Can_Snuffer_Set	ARSUK Candle Snuffer Set Feuerlöscher aus massivem Messing Nickel Holz Kerzenabdeckung Werkzeug zum sicheren Löschen (Messing_Snuffer_Set_3 STK)	1	amazon.de	Amazon	München	Bayern	81541	MarketplaceFacilitator	12.6	2.39	0	0	0	0	0	0	-2.39	-2.25	-2.52	0	0	7.83
02.01.2022 07:55:27 UTC	16869869152	Bestellung	304-1910080-3516350	FBA_9xPP_0.20G-10000-BB_Pellets_White	ARSUK Airsoft BB Pellets Bälle Hochwertiger Paintball Hochleistungs und glatt poliert - 6 mm. 0.20 g. 10000 Runden	1	amazon.de	Amazon	Neusiedl an der Zaya	Niederösterreich	2183	MarketplaceFacilitator	20.17	4.03	0	0	0	0	0	0	-4.03	-3.63	-4.77	0	0	11.77
02.01.2022 08:27:55 UTC	16869869152	Bestellung	028-5354121-2051509	FBA_27W_naturalbulb_packof1_Expp	ARSUK Leuchtstoffröhre. 27 W	1	amazon.de	Amazon	rotthalmünster		94094	MarketplaceFacilitator	8.82	1.67	0	0	0	0	0	0	-1.67	-1.57	-2.66	0	0	4.59
02.01.2022 08:38:57 UTC	16869869152	Bestellung	303-5534029-2485119	FBA-B5xPP_code:ARS-GD001_2_PairBoot_Rack	ARSUK Welly Schuhabstreifer. Stiefelknecht. Schuhbürsten. Motiv Schuhzubehör & Pflege gusseisen Eisen Booten Gestell Halter. Schuh Gestell Rahmen. S	1	amazon.de	Amazon	Wien	Österreich	1220	MarketplaceFacilitator	26.88	5.38	0	0	0	0	0	0	-5.38	-4.84	-4.77	0	0	17.27
02.01.2022 09:19:37 UTC	16869869152	Bestellung	028-9337383-1596330	FBA_1X_27W Replacement Bulb-8X99	ARSUK Ersatz-Leuchtmittel für Tageslicht-Leselampen. 27 W. 4-polig. GX10Q-4. Vierfachröhre (6500 K)	1	amazon.de	Amazon	Mannheim		68163	MarketplaceFacilitator	10.63	2.02	0	0	0	0	0	0	-2.02	-1.9	-2.66	0	0	6.07
02.01.2022 10:13:35 UTC	16869869152	Bestellung	028-3374398-5703532	FBA_27W_naturalbulb_packof1_Expp	ARSUK Leuchtstoffröhre. 27 W	1	amazon.de	Amazon	Flensburg		24944	MarketplaceFacilitator	8.82	1.67	0	0	0	0	0	0	-1.67	-1.57	-2.66	0	0	4.59
