fecha y hora,identificador de pago,tipo,número de pedido,sku,descripción,cantidad,web de Amazon,gestión logística,ciudad de procedencia del pedido,comunidad autónoma de procedencia del pedido,código postal de procedencia del pedido,Formulario de recaudación de impuestos,ventas de productos,product sales tax,abonos de envío,impuestos por abonos de envío,abonos de envoltorio para regalo,giftwrap credits tax,devoluciones promocionales,promotional rebates tax,impuesto retenido en el sitio web,tarifas de venta,tarifas de Logística de Amazon,tarifas de otras transacciones,otro,total
1 jul 2021 1:20:33 UTC,15713490532,Pedido,403-7415417-2281948,DE-FBA-TMI-1302-2-Green-Tweezers,Pinzas Cejas Pinzas de Depilar de Cejas depil Precisión Instrumentos para depilación Facial de Cejas. Vello. Herramienta de Belleza Diaria Acero Ino,1,amazon.es,Amazon,Dos Hermanas,Sevilla,41702,,4.19,0.8,0,0,0,0,0,0,0,-0.77,-2.26,0,0,1.96
1 jul 2021 2:38:25 UTC,15713490532,Pedido,405-8005381-2917134,FBA_4xpp_GreenPebbles:ARS05GR_1.5XPACKS,ARSUK Guijarros. Cuentas de Vidrio y Guijarros. Pepitas de Vidrio. Gemas de Forma Redonda. Piedras decorativas para jarrones. acuarios. velas flotante,1,amazon.es,Amazon,A Illa de Arousa,,36626,MarketplaceFacilitator,8.26,1.73,0,0,0,0,0,0,-1.73,-1.54,-4.25,0,0,2.47
1 jul 2021 7:29:23 UTC,15713490532,Pedido,407-2464456-8891505,FBA_12inch_guncase_Black_9xPP_EBA,ARSUK Estuche rígido para Pistola de Airsoft BB. Balines y Cartuchos Bolsa - Interior de Espuma (31cm Estuche-Negro),1,amazon.es,Amazon,Santiago de compostela,la coruña,15890,MarketplaceFacilitator,14.88,3.12,0,0,0,0,0,0,-3.12,-2.78,-3.78,0,0,8.32
1 jul 2021 7:29:23 UTC,15713490532,Pedido,407-2464456-8891505,FBA_12inch_guncase_Black_9xPP_EBA,ARSUK Estuche rígido para Pistola de Airsoft BB. Balines y Cartuchos Bolsa - Interior de Espuma (31cm Estuche-Negro),1,amazon.es,Amazon,Santiago de compostela,la coruña,15890,MarketplaceFacilitator,14.88,3.12,0,0,0,0,0,0,-3.12,-2.78,-3.78,0,0,8.32
1 jul 2021 13:21:13 UTC,15713490532,Pedido,404-0778285-8925914,Fba_5xpp_SpeedLoader-155_TRANSP,ARSUK Airsoft Plastic 500 Count Round Loader Loaded para Bolas de 6 mm BB (500 Vueltas-Transparente),1,amazon.es,Amazon,COLONIA DE SANT JORDI,Baleares,7638,,8,0,0,0,0,0,0,0,0,-1.24,-3.15,0,0,3.61
1 jul 2021 15:01:10 UTC,15713490532,Pedido,402-0065420-9469944,Fba_Code:ARS-20L-SS_20LsolarShower,ARSUK Contenedor de Agua de 80L para Carretilla. jardinería. alimentación. Ganado (Ducha Solar 20L),1,amazon.es,Amazon,VILLAMIEL DE MUÑO,BURGOS,9196,,9,0,0,0,0,0,0,0,0,-1.39,-3.5,0,0,4.11
1 jul 2021 18:55:58 UTC,15713490532,Pedido,171-9615348-4907544,S&L-FBA_Baby_Scissors-639,ARSUK Tijeras para Uñas de bebé con puntas redondeadas. Tijeras de seguridad. bebé Cuidado de uñas 9.0cm Acero Inoxidable (bebé Uña tijeras),1,amazon.es,Amazon,Madrid,Madrid,28033,MarketplaceFacilitator,3.3,0.69,0,0,0,0,0,0,-0.69,-0.33,-1.35,0,0,1.62
1 jul 2021 19:48:47 UTC,15713490532,Pedido,403-0782599-9258702,FBA_6xpp_Mixed-200PCS_(1KG),ARSUK Guijarros. Cuentas de Vidrio y Guijarros. Pepitas de Vidrio. Gemas de Forma Redonda. Piedras Decorativas para jarrones. acuarios. Velas flotante,1,amazon.es,Amazon,ALMERÍA,ALMERÍA,4007,MarketplaceFacilitator,8.26,1.74,0,0,0,0,0,0,-1.74,-1.55,-4.25,0,0,2.46
1 jul 2021 20:47:56 UTC,15713490532,Pedido,402-8025660-7757967,Fba_Code:ARS-20L-SS_20LsolarShower,ARSUK Contenedor de Agua de 80L para Carretilla. jardinería. alimentación. Ganado (Ducha Solar 20L),1,amazon.es,Amazon,Villafranqueza-Palamo,España,3112,MarketplaceFacilitator,7.44,1.56,0,0,0,0,0,0,-1.56,-1.39,-3.5,0,0,2.55
1 jul 2021 21:17:25 UTC,15713490532,Pedido,171-5704093-0983568,Fba_Chitsmastree_bag_Fx4p,ARSUK Bolsa para el árbol de Navidad. bolsa de transporte. estuche protector. bolsa de almacenamiento. Christmas storage bag Adecuado para árboles d,1,amazon.es,Amazon,Cervelló,Barcelona,8758,MarketplaceFacilitator,10.74,2.26,0,0,0,0,0,0,-2.26,-2.01,-3.5,0,0,5.23
1 jul 2021 23:32:40 UTC,15713490532,Pedido,402-7852403-0919522,FBA_Toilet-Roll_holder-Code:Tol-03-rust,Portarrollos de pie para papel higiénico. Soporte de rollo de papel higiénico portarrollos de pared de latón (Rústico),1,amazon.es,Amazon,Oliva de Plasencia,Caceres,10667,,13.69,0,0,0,0,0,0,0,0,-1.83,-4.25,0,0,7.61
2 jul 2021 1:19:58 UTC,15713490532,Pedido,404-3509801-0075536,FBA_12inch_guncase_Black_9xPP_EBA,ARSUK Estuche rígido para Pistola de Airsoft BB. Balines y Cartuchos Bolsa - Interior de Espuma (31cm Estuche-Negro),1,amazon.es,Amazon,Paterna,Valencia,46988,MarketplaceFacilitator,14.88,3.12,0,0,0,0,0,0,-3.12,-2.78,-3.78,0,0,8.32
2 jul 2021 3:44:37 UTC,15713490532,Pedido,406-3266856-3745937,9xpp_baby-cont-ARS-78805-MEDIUM-16pc,ARSUK 250ml Contenedor de alimentos para bebés Congelador Bandejas para cubos Bebé Destete Alimentos Ollas Congelador Tubos Contenedores apilables 1,1,amazon.es,Amazon,Madrid,Madrid,28015,,13.99,0,0,0,0,0,0,0,0,-2.16,-3.78,0,0,8.05
2 jul 2021 10:27:44 UTC,15713490532,Reembolso,405-9290243-7769100,FBA_Green_SprayingMop_600ml_A2xpp,ARSUK Spray desencadenante Rociador de agua Fregona para limpiar el piso Microfibra Spray plano Fregona 700ml,1,amazon.es,Amazon,Sueca,Valencia,46410,,-13.11,-2.88,0,0,0,0,0,0,0,1.98,0,0,0,-14.01
