date/heure,numéro de versement,type,numéro de la commande,sku,description,quantité,Marketplace,traitement,ville d'où provient la commande,Région d'où provient la commande,code postal de la commande,Modèle de perception des taxes,ventes de produits,Taxes sur la vente des produits,crédits d'expédition,taxe sur les crédits d’expédition,crédits sur l'emballage cadeau,Taxes sur les crédits cadeaux,Rabais promotionnels,Taxes sur les remises promotionnelles,Taxes retenues sur le site de vente,frais de vente,Frais Expédié par Amazon,autres frais de transaction,autre,total
31 oct. 2021 23:26:36 UTC,16478722902,Commande,404-9104104-0968363,FBA_1X_27W Replacement Bulb-8X99,ARSUK 27W Ampoule fluorescente de rechange pour ampoule standard à lumière du jour/lumière du soleil naturelle (6500 K) 4-pin,1,amazon.fr,Amazon,Le Chaffaut St Jurson,,4510,MarketplaceFacilitator,13.15,2.63,0,0,0,0,0,0,-2.63,-2.44,-4.07,0,0,6.64
1 nov. 2021 00:49:19 UTC,16478722902,Commande,405-8862219-3581110,FBA_Red_Apple_Peeler_New,ARSUK Éplucheur de Pomme Légume Fruit Poire Patate Éplucheuse Carottier Coupeur Trancheur Machine à éplucher Noyau Enlèvement Outil (Rouge),1,amazon.fr,Amazon,Amiens,France,80000,MarketplaceFacilitator,13.57,2.72,0,0,0,0,0,0,-2.72,-2.52,-5.62,0,0,5.43
1 nov. 2021 01:28:58 UTC,16478722902,Commande,171-1804032-7180349,FBA_8pcs-plastic-box-Small,ARSUK Repas de Bébé Boîtes de Conservation. BPA en plastique Alimentation réutilisable récipient hermétique Boîtes avec couvercle empilable au,1,amazon.fr,Amazon,Paris,,75013,MarketplaceFacilitator,9.16,1.83,0,0,0,0,0,0,-1.83,-1.7,-4.07,0,0,3.39
1 nov. 2021 04:37:54 UTC,16478722902,Commande,171-2802006-0688330,FBA_12inch_guncase_Black_9xPP_EBA,ARSUK Étui à Fusil pour Fusil/Arme à feu/Arme/Pistolet Tactique BB transportant Un étui Rigide Cartouche Carry Slip/Case avec Doublure en Mousse (,1,amazon.fr,Amazon,ST JUST ST RAMBERT,,42170,MarketplaceFacilitator,17.08,3.42,0,0,0,0,0,0,-3.42,-3.17,-5.62,0,0,8.29
1 nov. 2021 12:10:36 UTC,16478722902,Commande,171-1162399-5045967,FBA_TL-Th_holder_Code_Tol-05-Chrome,ARSUK porte-rouleau de papier toilette avec étagère pour téléphone portable. distributeur de papier de soie mural de salle de bain de cuisine. ins,1,amazon.fr,Amazon,MANOSQUE,,4100,MarketplaceFacilitator,11.12,2.23,0,0,0,0,0,0,-2.23,-1.79,-5.62,0,0,3.71
1 nov. 2021 13:35:19 UTC,16478722902,Commande,406-5238059-0673914,Fba_Fr_Metalmash_Khaki_19xpp,Maille en métal Lunettes de Protection de l'Airsoft CQB Tactique - Kaki,1,amazon.fr,Vendeur,Coupelle vieille,,62310,MarketplaceFacilitator,16.66,3.33,28.33,5.67,0,0,0,0,-9,-8.34,0,0,0,36.65
1 nov. 2021 14:11:47 UTC,16478722902,Commande,402-2516951-8139561,FBA_Red_Apple_Peeler_New,ARSUK Éplucheur de Pomme Légume Fruit Poire Patate Éplucheuse Carottier Coupeur Trancheur Machine à éplucher Noyau Enlèvement Outil (Rouge),1,amazon.fr,Amazon,MORTZWILLER,,68780,MarketplaceFacilitator,13.57,2.72,0,0,0,0,0,0,-2.72,-2.52,-5.62,0,0,5.43
1 nov. 2021 14:37:27 UTC,16478722902,Commande,171-2747439-5034748,FBA_A2xpp_Code:ARS-TG04-BK-Target-Plate,ARSUK Cibles d'Airsoft de tir à Réinitialisation Automatique en métal. 37x 26x20 cm,1,amazon.fr,Amazon,FEGREAC,,44460,,18.33,0,0,0,0,0,0,0,0,-2.83,-5.62,0,0,9.88
1 nov. 2021 14:44:27 UTC,16478722902,Commande,406-3619695-1377955,FBA_Green_SprayingMop_600ml_A2xpp,ARSUK balai vaporisateur d'eau Pulvérisation Nettoyant Sol Carrelage en marbre de cuisine 600 ml Micro Fibre,1,amazon.fr,Amazon,LIMOGES,,87100,MarketplaceFacilitator,14.41,2.88,4.16,0.83,0,0,0,0,-3.71,-2.67,-9.94,0,0,5.96
1 nov. 2021 14:48:08 UTC,16478722902,Frais de service,,,Prix de la publicité,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,-520.51,0,-520.51
