date/time,settlement id,type,order id,sku,description,quantity,marketplace,fulfilment,order city,order state,order postal,tax collection model,product sales,product sales tax,postage credits,shipping credits tax,gift wrap credits,giftwrap credits tax,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total
20 Dec 2021 00:09:04 UTC,16780126712,Order,203-2212588-3766731,A_FBA_Penguin_Go_Racer_Toy,"ARSUK Puzzle Penguin Go Racer Track Toy, Climbing Stairs Toys for Toddlers Boys Girls Roller Coaster,, Kids Fun Playing Games with Music",1,amazon.co.uk,Amazon,CHEPSTOW,Gwent,NP16 5NR,,16.66,3.33,0,0,0,0,0,0,0,-3.06,-2.5,0,0,14.43
20 Dec 2021 00:14:02 UTC,16780126712,Order,206-5297637-0867520,FBA_ARS-BootScraper,"ARSUK Boot Cleaners, Brush, Jack, Rack & Scraper, Robust Cast Iron Outdoor Welly Shoe Remover, Stand, Cabinet & Storage",1,amazon.co.uk,Amazon,Newbury,,RG20 8UR,,29.99,6,0,0,0,0,0,0,0,-5.51,-4.14,0,0,26.34
20 Dec 2021 00:21:21 UTC,16780126712,Order,026-9401141-4379504,5xpp_code:31665_Snuffer-,ARSUK Candle Snuffer Set fire extinguisher made of solid brass nickel wood candle cover tool for safe extinguishing (Brass-Elegant),1,amazon.co.uk,Amazon,Skerries,Dublin,K34 T970,MarketplaceFacilitator,7.57,1.74,0,0,0,0,-0.76,-0.17,-1.57,-1.28,-2.19,0,0,3.34
20 Dec 2021 00:23:18 UTC,16780126712,Order,203-5512511-2364357,FBA_Red_Apple_Peeler_New,"ARSUK Apple Peeler Potato Peeler and Spiralizer, Vegetable Peelers for Kitchen, Easy Apple Peeling Machine, Fruit Corer Remover Slicer Spiral Cutter S",1,amazon.co.uk,Amazon,LONDON,,E3 5LN,,10.66,2.13,0,0,0,0,0,0,0,-1.96,-2.5,0,0,8.33
20 Dec 2021 00:24:03 UTC,16780126712,Order,203-8967607-2956337,FBA_ 6xpp_200PCS _BLACK_Pebbles,"Decorative Glass Pebbles, Stones Beads Rounded, Stones, Gems 200PCS (1KG) by ARSUK (Black)",1,amazon.co.uk,Amazon,LUTON,Beds,LU4 8JA,,8.45,1.69,0,0,0,0,-0.59,-0.12,0,-1.44,-2.66,0,0,5.33
20 Dec 2021 00:25:18 UTC,16780126712,Order,203-3838233-2181156,UK_S&L_FBA_Toe_Nail_Scissor_ARS037,A Grade Toe Nail Scissors Professional Cuticle Scissors Extra Strong Curved Rust Free Scissor for Grooming Shaping Nails Manicure and Pedicure Scissor,1,amazon.co.uk,Amazon,BRENTWOOD,Essex,CM13 2RR,,2.57,0.52,0,0,0,0,0,0,0,-0.5,-0.6,0,0,1.99
20 Dec 2021 00:25:18 UTC,16780126712,Order,203-3838233-2181156,UK_S&L_FBA_Toe_Nail_Scissor_ARS037,A Grade Toe Nail Scissors Professional Cuticle Scissors Extra Strong Curved Rust Free Scissor for Grooming Shaping Nails Manicure and Pedicure Scissor,1,amazon.co.uk,Amazon,BRENTWOOD,Essex,CM13 2RR,,2.57,0.52,0,0,0,0,0,0,0,0,-0.6,0,0,2.49
20 Dec 2021 00:34:06 UTC,16780126712,Order,206-8637027-1309923,ARS_FBA_Medium_carpet_mat_Black_White,"ARSUK Plastic Floor Mat Soft Texture Foldable Waterproof Indoor Outdoor Reversible Straw Rug for Living Room, Patio, Beach, Picnic, Yoga, Prayer, Camp",1,amazon.co.uk,Amazon,FARNBOROUGH,,GU14 7GD,,8.32,1.67,0,0,0,0,0,0,0,-1.53,-2.5,0,0,5.96
20 Dec 2021 00:37:06 UTC,16780126712,Order,202-0949771-7066716,FBA_ARS-BootScraper,"ARSUK Boot Cleaners, Brush, Jack, Rack & Scraper, Robust Cast Iron Outdoor Welly Shoe Remover, Stand, Cabinet & Storage",1,amazon.co.uk,Amazon,STAPLEFORD ABBOTTS,Essex,RM4 1JU,,30.82,6.17,0,0,0,0,0,0,0,-5.66,-4.14,0,0,27.19
20 Dec 2021 00:40:41 UTC,16780126712,Order,026-8674813-5175551,FBA_5.pp_0.20g_Bag of 2000-BLACK,"ARSUK Airsoft BB Pellets Balls High Grade Paintball heavy Duty and Smooth Polished - in Bottles and Bags - 6mm 0.12g,0.20g,0.30g,0.40g BB 2000,3000,40",1,amazon.co.uk,Amazon,BIRMINGHAM,,B20 1EQ,,5.41,1.08,0,0,0,0,0,0,0,-0.99,-2.21,0,0,3.29
