date/heure,numéro de versement,type,numéro de la commande,sku,description,quantité,Marketplace,traitement,ville d'où provient la commande,Région d'où provient la commande,code postal de la commande,Modèle de perception des taxes,ventes de produits,Taxes sur la vente des produits,crédits d'expédition,taxe sur les crédits d’expédition,crédits sur l'emballage cadeau,Taxes sur les crédits cadeaux,Rabais promotionnels,Taxes sur les remises promotionnelles,Taxes retenues sur le site de vente,frais de vente,Frais Expédié par Amazon,autres frais de transaction,autre,total
31 aug 2021 22:05:17 UTC,16121668552,Commande,407-8078263-9666721,FBA_A0xpp_Apple_peeler_Green,ARSUK 3 en 1 Apple Éplucheur trancheuse Dicer Fruit Pomme de cuisine de pommes de terre évider machine Cutter (Vert),1,amazon.fr,Amazon,Paris,,75008,MarketplaceFacilitator,12.49,2.5,0,0,0,0,0,0,-2.5,-2.32,-5.46,0,0,4.71
31 aug 2021 22:17:50 UTC,16121668552,Commande,407-9404380-0467569,A4xpp_code:1328_shipbell_3inch,"ARSUK Cloche de Bateau. Nautique. Marine en Laiton Massif. dîner d'école. réception. décoration Murale. Cloche Antique à Suspendre (3"" Laiton Mas",1,amazon.fr,Amazon,GIROMAGNY,,90200,MarketplaceFacilitator,20.82,4.17,0,0,0,0,0,0,-4.17,-3.09,-5.46,0,0,12.27
31 aug 2021 22:21:17 UTC,16121668552,Remboursement,404-1312840-2501939,FBA_A0xpp_Apple_peeler_Green,ARSUK 3 en 1 Apple Éplucheur trancheuse Dicer Fruit Pomme de cuisine de pommes de terre évider machine Cutter (Vert),1,amazon.fr,Amazon,PARIS,,75015,MarketplaceFacilitator,-12.49,-2.5,-4.16,-0.83,0,0,0,0,3.33,1.86,4.16,0,0,-10.63
31 aug 2021 23:25:38 UTC,16121668552,Commande,405-8928093-8812306,FBA_Bxpp_ClearPeebles-ARS04-1xPack-500gm,ARSUK 100 Galets / Pierres / Perles / Pépites Décoratives Rondes Transparentes,1,amazon.fr,Amazon,le plessis robinson,,92350,MarketplaceFacilitator,7.74,1.55,0,0,0,0,0,0,-1.55,-1.44,-3.96,0,0,2.34
31 aug 2021 23:41:15 UTC,16121668552,Commande,405-4934356-0988311,A0xpp_Code:3501-30-Brass_TH_Wall,ARSUK Dérouleur d'Essuie-Tout. Porte Essuie-Tout Métal (Laiton polonais),1,amazon.fr,Amazon,VERS PONT DU GARD,,30210,MarketplaceFacilitator,8,1.6,0,0,0,0,0,0,-1.6,-1.48,-3.01,0,0,3.51
1 sep 2021 00:09:00 UTC,16121668552,Commande,406-9796189-2313114,A4xpp_code:1328_shipbell_3inch,"ARSUK Cloche de Bateau. Nautique. Marine en Laiton Massif. dîner d'école. réception. décoration Murale. Cloche Antique à Suspendre (3"" Laiton Mas",1,amazon.fr,Amazon,Nantes,,44300,MarketplaceFacilitator,20.82,4.17,1.38,0.28,0,0,-1.38,-0.28,-4.17,-3.09,-5.46,0,0,12.27
1 sep 2021 00:17:08 UTC,16121668552,Commande,402-2947634-2910752,FBA-5x4p_Clear-Code:ARS04-TP_2xPacks,ARSUK Lot de 1 kg de galets ronds pour décoration de table. claire,1,amazon.fr,Amazon,Gagny,Ile-De-France,93220,MarketplaceFacilitator,8.79,1.76,0,0,0,0,0,0,-1.76,-1.63,-5.68,0,0,1.48
1 sep 2021 00:39:41 UTC,16121668552,Commande,406-6846167-7498706,FBA_Swing_Target_Metal_Black,ARSUK Cible d'Airsoft de tir à Automatique Réinitialisation en métal. 37 x 26 x 20 cm,1,amazon.fr,Amazon,yainville,Seine maritime,76480,MarketplaceFacilitator,16.67,3.33,0,0,0,0,0,0,-3.33,-3.09,-5.46,0,0,8.12
1 sep 2021 01:06:24 UTC,16121668552,Commande,405-2003888-1576368,FBA_Red_Apple_Peeler_New,ARSUK Éplucheur de Pomme Légume Fruit Poire Patate Éplucheuse Carottier Coupeur Trancheur Machine à éplucher Noyau Enlèvement Outil (Rouge),1,amazon.fr,Amazon,Versailles,,78000,MarketplaceFacilitator,12.49,2.5,0,0,0,0,0,0,-2.5,-2.32,-5.46,0,0,4.71
1 sep 2021 01:07:04 UTC,16121668552,Commande,402-7914856-3398744,FBA_Spraying_Mop_Green_600ml_A2xpp,ARSUK Vadrouille à pulvériser pour carrelage en stratifié de bois franc. vinyle sec et humide avec nettoyant pour vitres à gâchette active. balay,1,amazon.fr,Amazon,DUNKERQUE,,59140,MarketplaceFacilitator,13.07,2.62,0,0,0,0,0,0,-2.62,-2.42,-5.68,0,0,4.97
