date/time,settlement id,type,order id,sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,tax collection model,product sales,product sales tax,shipping credits,shipping credits tax,gift wrap credits,giftwrap credits tax,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total
"Jul 1, 2021 12:17:06 AM PDT",14414331861,Order,111-3670640-4510606,S&L-ARS-198-Cuticle-Scissors,ARSUK Professional Stainless Steel Finger Toe Nail Scissors Curved Manicure Cuticle Scissors,1,amazon.com,Standard Orders,Amazon,Belgrade,MO,63622,,4.34,0,0,0,0,0,0,0,0,-0.78,-2.16,0,0,1.4
"Jul 1, 2021 12:34:58 AM PDT",14414331861,Order,114-7999030-1377817,EU_5xpp_SpeedLoader-155_BLK,ARSUK Airsoft BB Speedloader 90 Round Black Plastic for 6mm BBS Gun Pistol Magazine (155 Rd BB Loader Black),1,amazon.com,Standard Orders,Amazon,Sacramento,CA,95821,MarketplaceFacilitator,7.29,0.56,0,0,0,0,0,0,-0.56,-1.31,-3.47,0,0,2.51
"Jul 1, 2021 1:08:13 AM PDT",14414331861,Order,113-3711086-3337823,S&L-ARS-198-Cuticle-Scissors,ARSUK Professional Stainless Steel Finger Toe Nail Scissors Curved Manicure Cuticle Scissors,1,amazon.com,Standard Orders,Amazon,GLEN ALLEN,VA,23059-8009,MarketplaceFacilitator,4.34,0.26,0,0,0,0,0,0,-0.26,-0.78,-2.16,0,0,1.4
"Jul 1, 2021 1:13:36 AM PDT",14414331861,Order,111-1874814-2337801,FBA-USA-1207-Pink-Zebra,"ARSUK Embroidery Scissors Sewing Sharp Shears fabric crafting scissor for Threading Art Home crafts, Office Work, Stainless steel Vintage stork style",1,amazon.com,Standard Orders,Amazon,RANCHO CORDOVA,CA,95670-6975,MarketplaceFacilitator,4.99,0.44,0,0,0,0,0,0,-0.44,-0.9,-2.7,0,0,1.39
"Jul 1, 2021 2:12:27 AM PDT",14414331861,Order,114-6213454-0911454,FBA_79xpp_StomachPump-15.5inch,"ARSUK Surgical Instrument Specialists Equine Stomach Pump 15.5"" Stainless Steel Equine Stomach Pump Tube Equestrian Veterinary Surgical Instruments",1,amazon.com,Standard Orders,Amazon,SARASOTA,FL,34249-2602,,55.99,0,5.63,0,0,0,-5.63,0,0,-10.08,-5.68,0,0,40.23
"Jul 1, 2021 2:34:09 AM PDT",14414331861,Order,111-2027320-2510625,EU_Speed_Loader_90_rounds_BLK_Cxpp,ARSUK Airsoft BB Speed Loader 90 Round Black Plastic for 6mm BBS Gun Pistol Magazine,1,amazon.com,Standard Orders,Amazon,OVERLAND,MO,63114-2408,,6.39,0,0,0,0,0,0,0,0,-1.15,-3.47,0,0,1.77
"Jul 1, 2021 2:47:59 AM PDT",14414331861,Order,114-4033196-1677869,S&L-ARS-198-Cuticle-Scissors,ARSUK Professional Stainless Steel Finger Toe Nail Scissors Curved Manicure Cuticle Scissors,1,amazon.com,Standard Orders,Amazon,BENSALEM,PA,19020-4405,MarketplaceFacilitator,4.34,0.26,0,0,0,0,0,0,-0.26,-0.78,-2.16,0,0,1.4
"Jul 1, 2021 4:21:42 AM PDT",14414331861,Order,112-5823173-3144261,S&L-ARS-198-Cuticle-Scissors,ARSUK Professional Stainless Steel Finger Toe Nail Scissors Curved Manicure Cuticle Scissors,1,amazon.com,Standard Orders,Amazon,Bellevue,WA,98007,MarketplaceFacilitator,4.34,0.44,0,0,0,0,0,0,-0.44,-0.78,-2.16,0,0,1.4
"Jul 1, 2021 5:07:48 AM PDT",14414331861,Order,114-4860514-7350637,FBA-ARS-218_ToothScalar,"Joy Pet 6-1/2-Inch Double Headed Tarter Remover/Scraper, Stainless",1,amazon.com,Standard Orders,Amazon,La Mirada,Ca,90638,MarketplaceFacilitator,4.19,0.4,0,0,0,0,0,0,-0.4,-0.76,-2.16,0,0,1.27
"Jul 1, 2021 6:40:16 AM PDT",14414331861,Order,112-1088892-0160237,USA_S & L_Speedloader 90 Rd BLK,"ARSUK Airsoft BB Speed Loader 90 Round Black Plastic for 6mm BBS Air Rifles, Gun, Pistol Magazine",1,amazon.com,Standard Orders,Amazon,BOTHELL,WA,98012-6126,MarketplaceFacilitator,6.39,0.58,0,0,0,0,0,0,-0.58,-1.15,-2.35,0,0,2.89
