Datum/Uhrzeit,Abrechnungsnummer,Typ,Bestellnummer,SKU,Beschreibung,Menge,Marketplace,Versand,Ort der Bestellung,Bundesland,Postleitzahl,Steuererhebungsmodell,Umsätze,Produktumsatzsteuer,Gutschrift für Versandkosten,Steuer auf Versandgutschrift,Gutschrift für Geschenkverpackung,Steuer auf Geschenkverpackungsgutschriften,Rabatte aus Werbeaktionen,Steuer auf Aktionsrabatte,Einbehaltene Steuer auf Marketplace,Verkaufsgebühren,Gebühren zu Versand durch Amazon,Andere Transaktionsgebühren,Andere,Gesamt
30.06.2021 23:33:57 UTC,15751614412,Bestellung,028-1225264-3515502,FBA_27W_Replacement_Bulb_Expp,"ARSUK Leuchtstoffröhre 27 W, Ersatz für natürliches Tageslicht / Sonneneinstrahlung, FML-Lampe, ideal für BB-DL210 [Energieklasse A+++] (27W Ersat",1,amazon.de,Amazon,gronau (westf.),,48599,,"17,99",0,0,0,0,0,0,0,0,"-2,70","-2,66",0,0,"12,63"
30.06.2021 23:44:37 UTC,15751614412,Bestellung,304-1915729-6582708,FBA-DxD9_Small-120ml_Containers(16pc),ARSUK 16 Stück Essen Aufbewahrungsbox Crispr 120 ml Mini Mikrowelle für Baby Kinder Kleinkind BPA-Frei,1,amazon.de,Amazon,Goldbach,,63773,,"13,87","2,63",0,0,0,0,0,0,0,"-2,48","-2,95",0,0,"11,07"
30.06.2021 23:44:52 UTC,15751614412,Bestellung,304-0546288-8934726,8xpp_code:ARS-HM,ARSUK große handgemachte blumige im Dunkeln leuchtende Gepunktete Glasmurmeln Verschiedene Sportspielzeuge Kinderspiele Laufen,1,amazon.de,Amazon,Steinheim,Baden-Württemberg,71711,,"10,92","2,08",0,0,0,0,0,0,0,"-1,95","-2,52",0,0,"8,53"
01.07.2021 00:50:54 UTC,15751614412,Bestellung,303-9410413-6890711,EU_Axpp_Milky_Marbles_packof40,"ARSUK Glasmurmeln, Spielzeug, Deko Kugeln Durchsichtig Klare Glasmurmeln, Dekoration Glaskügelchen bunt",1,amazon.de,Amazon,Lampertheim,Hessen,68623,,"3,78","0,72",0,0,0,0,0,0,0,"-0,68","-2,16",0,0,"1,66"
01.07.2021 02:39:33 UTC,15751614412,Anpassung,,PAN-EU-FBA-TMI-1302-6-Black-Tweezers,Versand durch Amazon Erstattung für Lagerbestand - Im Lager beschädigt,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,"1,54","1,54"
01.07.2021 03:00:13 UTC,15751614412,Bestellung,306-2324758-1985931,FBA_Green_SprayingMop_600ml_A2xpp,ARSUK SPRAY MOP Wasser Sprühen Bodenreiniger Fliesen Marmor Küche 700 ml Micro Fibre,1,amazon.de,Amazon,Lostau,,39291,,"11,93","2,27",0,0,0,0,0,0,0,"-2,13","-3,99",0,0,"8,08"
01.07.2021 03:08:36 UTC,15751614412,Bestellung,305-6750298-2611528,FBA_27W_Replacement_Bulb_Expp,"ARSUK Leuchtstoffröhre 27 W, Ersatz für natürliches Tageslicht / Sonneneinstrahlung, FML-Lampe, ideal für BB-DL210 [Energieklasse A+++] (27W Ersat",1,amazon.de,Amazon,Halstenbek,,25469,,"15,12","2,87","1,68","0,32",0,0,"-1,68","-0,32",0,"-2,70","-2,66",0,0,"12,63"
01.07.2021 03:11:03 UTC,15751614412,Anpassung,028-0295694-8385170,FBA_Green_SprayingMop_600ml_A2xpp,Versand durch Amazon Erstattung für Lagerbestand - Kundenrücksendung,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,"5,57","5,57"
01.07.2021 05:26:14 UTC,15751614412,Bestellung,305-6193065-5330745,FBA_8pcs-plastic-box-Small,"ARSUK Mini-Vorratsbehälter 8 Stück - 120ml, Mehrfarbig, Kunststoff, BPA-Frei, 5.7x5.7x3.8cm BPA-Frei",1,amazon.de,Amazon,München,,80333,,"9,50","1,80",0,0,0,0,0,0,0,"-1,70","-2,95",0,0,"6,65"
01.07.2021 05:37:21 UTC,15751614412,Bestellung,305-0619269-6135529,FBA_27W_Replacement_Bulb_Expp,"ARSUK Leuchtstoffröhre 27 W, Ersatz für natürliches Tageslicht / Sonneneinstrahlung, FML-Lampe, ideal für BB-DL210 [Energieklasse A+++] (27W Ersat",1,amazon.de,Amazon,Waiblingen,Deutschland,71336,,"15,12","2,87",0,0,0,0,0,0,0,"-2,70","-2,66",0,0,"12,63"
01.07.2021 06:46:04 UTC,15751614412,Bestellung,028-9777923-8177904,FBA_A0xpp_Apple_peeler_Green,"ARSUK Apfelschäler, Corer, Kartoffel Obst Schäler und Cutter, Schälmaschine, Rotierend Apfel Schäler mit Saugwirkung Tasse (Apfelschäler: Grün)",1,amazon.de,Amazon,Wahrenholz,,29399,,"10,92","2,07","1,22","0,23",0,0,"-1,22","-0,23",0,"-1,95","-3,38",0,0,"7,66"
01.07.2021 07:48:33 UTC,15751614412,Bestellung,306-5893968-2529921,PAN_EU_TMI-1167_Beard&Mustache_Scissors,"ARSUK Bartschere, Schnurrbart Schere, Nase Haarentfernung Edelstahl Schere Geeignet zum Stutzen des Bartes, Nasen, Ohrenhaare, Schnurrbart und Körper",1,amazon.de,Amazon,Aschaffenburg,Bayern,63741,MarketplaceFacilitator,"5,03","0,96",0,0,0,0,0,0,"-0,96","-0,90","-1,73",0,0,"2,40"
01.07.2021 08:02:32 UTC,15751614412,Bestellung,306-4452754-5662710,FBA_27W_Replacement_Bulb_Expp,"ARSUK Leuchtstoffröhre 27 W, Ersatz für natürliches Tageslicht / Sonneneinstrahlung, FML-Lampe, ideal für BB-DL210 [Energieklasse A+++] (27W Ersat",1,amazon.de,Amazon,Bad Mitterndorf / Kainisch,,8984,MarketplaceFacilitator,"14,99","3,00","3,32","0,67",0,0,0,0,"-3,67","-2,70","-6,65",0,0,"8,96"
01.07.2021 09:23:18 UTC,15751614412,Erstattung,303-8049175-0159551,SFP_ARS_GD004_4_Pair_Shoe-Rack,"ARSUK Schuhabstreifer gusseisen, Schuhbürsten, Gartendeko, rostbraun, Schuhzubehör & Pflege (4 Paar Stiefel Zahnstange)",1,amazon.de,Verkäufer,Dossenheim,Baden-Württemberg,69221,,0,0,0,0,0,0,0,0,0,0,0,0,"-12,00","-12,00"
01.07.2021 10:34:00 UTC,15751614412,Anpassung,028-3327435-4854739,FBA_Desk_Lamp_DL211_Grey_Bulb,Versand durch Amazon Erstattung für Lagerbestand - Kundenrücksendung,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,"13,17","13,17"
01.07.2021 11:30:14 UTC,15751614412,Bestellung,304-6557802-0665103,Fba_5xpp_SpeedLoader-155_TRANSP,ARSUK Airsoft Plastic 500 Count Round Speed Loader für 6 mm BB-Pellets (500 Runden-Transparent),1,amazon.de,Amazon,Witten,,58453,MarketplaceFacilitator,"6,72","1,28",0,0,0,0,0,0,"-1,28","-1,20","-2,52",0,0,"3,00"
01.07.2021 12:07:17 UTC,15751614412,Bestellung,302-7867102-1521946,FBA_27W_Replacement_Bulb_Expp,"ARSUK Leuchtstoffröhre 27 W, Ersatz für natürliches Tageslicht / Sonneneinstrahlung, FML-Lampe, ideal für BB-DL210 [Energieklasse A+++] (27W Ersat",1,amazon.de,Amazon,Rohrendorf,Niederösterreich,3495,MarketplaceFacilitator,"15,12","3,02",0,0,0,0,0,0,"-3,02","-2,72","-2,66",0,0,"9,74"
01.07.2021 13:43:10 UTC,15751614412,Bestellung,306-6087974-7301966,DE-S&L-TMI-1207-Pink-Scissor,Stoffschere Nähen Scharfe Schere Stoff-Bastelschere zum Einfädeln Kunst Heimwerken Büroarbeit Edelstahl Vintage Storch-Stil Stickschere für Sicher,1,amazon.de,Amazon,Wandlitz,Brandenburg,16348,MarketplaceFacilitator,"3,35","0,64",0,0,0,0,0,0,"-0,64","-0,32","-1,73",0,0,"1,30"
01.07.2021 14:37:17 UTC,15751614412,Bestellung,304-0089907-7766751,PAN_EU_TMI-1167_Beard&Mustache_Scissors,"ARSUK Bartschere, Schnurrbart Schere, Nase Haarentfernung Edelstahl Schere Geeignet zum Stutzen des Bartes, Nasen, Ohrenhaare, Schnurrbart und Körper",1,amazon.de,Amazon,Tübingen,,72076,,"5,99",0,0,0,0,0,0,0,0,"-0,90","-1,73",0,0,"3,36"
01.07.2021 14:41:31 UTC,15751614412,Bestellung,305-7605558-6790728,PAN-EU-FBA-BxPP_TMI-1167_cuticlescissors,Nagelschere und Nagelhautschere extra fein Solingen - Extra scharf mit gebogener Schneide - Fingernagel Nail Scissors- und Nagel schere Fussnägel - n,1,amazon.de,Amazon,ilsenburg,sachsen-anhalt,38871,,"4,99",0,0,0,0,0,0,0,0,"-0,40","-1,73",0,0,"2,86"
01.07.2021 17:28:44 UTC,15751614412,Erstattung,028-9822986-3973939,DE-S&L-TMI-1207-Pink-Scissor,Stoffschere Nähen Scharfe Schere Stoff-Bastelschere zum Einfädeln Kunst Heimwerken Büroarbeit Edelstahl Vintage Storch-Stil Stickschere für Sicher,1,amazon.de,Amazon,Datteln,NRW,45711,,"-3,35","-0,64",0,0,0,0,0,0,0,"0,26",0,0,0,"-3,73"
01.07.2021 18:11:39 UTC,15751614412,Erstattung,304-5282931-7401917,FBA_27W_Replacement_Bulb_Expp,"ARSUK Leuchtstoffröhre 27 W, Ersatz für natürliches Tageslicht / Sonneneinstrahlung, FML-Lampe, ideal für BB-DL210 [Energieklasse A+++] (27W Ersat",1,amazon.de,Amazon,Laichingen,Baden-Württemberg,89150,,"-17,99",0,0,0,0,0,0,0,0,"2,16",0,0,0,"-15,83"
01.07.2021 19:08:34 UTC,15751614412,Bestellung,304-0594843-4233148,FBA_A0xpp_Apple_peeler_Green,"ARSUK Apfelschäler, Corer, Kartoffel Obst Schäler und Cutter, Schälmaschine, Rotierend Apfel Schäler mit Saugwirkung Tasse (Apfelschäler: Grün)",1,amazon.de,Amazon,Strausberg,,15344,MarketplaceFacilitator,"10,92","2,07",0,0,0,0,0,0,"-2,07","-1,95","-3,38",0,0,"5,59"
01.07.2021 23:27:06 UTC,15751614412,Bestellung,028-7121286-0749133,FBA_Spraying_Mop_Purple_600ml_a2xpp,"Spritzen Wischmopp für Laminat Und Fliesen, Marmor, Holz, Bodenstehend, Active Sprühflasche Fegen (Lila Wischmopp 600ml)",1,amazon.de,Amazon,Straubing,Bayern,94315,MarketplaceFacilitator,"11,89","2,26",0,0,0,0,0,0,"-2,26","-2,12","-3,99",0,0,"5,78"
01.07.2021 23:27:12 UTC,15751614412,Bestellung,304-7138618-2805140,FBA_Green_SprayingMop_600ml_A2xpp,ARSUK SPRAY MOP Wasser Sprühen Bodenreiniger Fliesen Marmor Küche 700 ml Micro Fibre,1,amazon.de,Amazon,Iserlohn,NRW,58640,MarketplaceFacilitator,"11,93","2,27",0,0,0,0,0,0,"-2,27","-2,13","-3,99",0,0,"5,81"
02.07.2021 01:46:30 UTC,15751614412,Bestellung,302-6307644-3505104,FBA_6xPP_BB-DB409_80L_Water_Carrier,ARSUK 80L Water Carrier Wasser Behälter für den Garten - Feeding- Vieh (80L / 18 Gallonen Wasserbeutel),1,amazon.de,Amazon,cuxhaven,niedersachsen,27478,MarketplaceFacilitator,"11,76","2,24",0,0,0,0,0,0,"-2,24","-2,10","-3,38",0,0,"6,28"
02.07.2021 01:47:09 UTC,15751614412,Bestellung,028-4020596-3168337,FBA_Green_SprayingMop_600ml_A2xpp,ARSUK SPRAY MOP Wasser Sprühen Bodenreiniger Fliesen Marmor Küche 700 ml Micro Fibre,1,amazon.de,Amazon,Hamburg,,20535,MarketplaceFacilitator,"11,93","2,27",0,0,0,0,0,0,"-2,27","-2,13","-3,99",0,0,"5,81"
02.07.2021 01:56:31 UTC,15751614412,Bestellung,305-1104216-0461121,DE-S&L-TMI-1207-Pink-Scissor,Stoffschere Nähen Scharfe Schere Stoff-Bastelschere zum Einfädeln Kunst Heimwerken Büroarbeit Edelstahl Vintage Storch-Stil Stickschere für Sicher,1,amazon.de,Amazon,Hanhofen,Rheinland-Pfalz,67374,MarketplaceFacilitator,"3,35","0,64",0,0,0,0,0,0,"-0,64","-0,32","-1,73",0,0,"1,30"
02.07.2021 02:46:17 UTC,15751614412,Bestellung,028-8945653-0417959,FBA_27W_Replacement_Bulb_Expp,"ARSUK Leuchtstoffröhre 27 W, Ersatz für natürliches Tageslicht / Sonneneinstrahlung, FML-Lampe, ideal für BB-DL210 [Energieklasse A+++] (27W Ersat",1,amazon.de,Amazon,Pulheim,,50259,MarketplaceFacilitator,"15,29","2,90",0,0,0,0,0,0,"-2,90","-2,73","-2,66",0,0,"9,90"
02.07.2021 02:56:00 UTC,15751614412,Servicegebühr,,,Werbekosten,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,"-92,60",0,"-92,60"
02.07.2021 03:45:08 UTC,15751614412,Bestellung,303-4205516-9059523,FBA_27W_Replacement_Bulb_Expp,"ARSUK Leuchtstoffröhre 27 W, Ersatz für natürliches Tageslicht / Sonneneinstrahlung, FML-Lampe, ideal für BB-DL210 [Energieklasse A+++] (27W Ersat",1,amazon.de,Amazon,Bad Hersfeld,,36251,MarketplaceFacilitator,"15,29","2,90",0,0,0,0,0,0,"-2,90","-2,73","-2,66",0,0,"9,90"
